Filename,Anomaly_Score,MSE,SSIM_Delta,Is_Anomaly
tile_21382.npy,0.263602,0.0016692393,0.52553475,False
tile_15299.npy,0.26359516,0.0007422817,0.5264481,False
tile_14301.npy,0.2635759,0.0017604139,0.5253914,False
tile_6125.npy,0.26356387,0.001087298,0.52604043,False
tile_25371.npy,0.2635545,0.0015069302,0.5256021,False
tile_8148.npy,0.26353028,0.0017426861,0.5253179,False
tile_22428.npy,0.2635259,0.0027674637,0.52428436,False
tile_22835.npy,0.26350096,0.0020137324,0.5249882,False
tile_21037.npy,0.26350033,0.0019348755,0.5250658,False
tile_21030.npy,0.26348045,0.001756395,0.52520454,False
tile_24289.npy,0.26341024,0.002289103,0.52453136,False
tile_11507.npy,0.26336488,0.0016250272,0.52510476,False
tile_27063.npy,0.26334247,0.0018551901,0.52482975,False
tile_25856.npy,0.26333636,0.0017779921,0.5248947,False
tile_23100.npy,0.2632507,0.0019147557,0.5245867,False
tile_11343.npy,0.26322842,0.0015718568,0.524885,False
tile_11923.npy,0.2631988,0.0019283539,0.52446926,False
tile_30032.npy,0.2631802,0.0020685457,0.5242919,False
tile_3725.npy,0.26317123,0.001571123,0.52477133,False
tile_6999.npy,0.263112,0.0016196016,0.52460444,False
tile_25635.npy,0.26310918,0.0019360054,0.52428234,False
tile_6045.npy,0.26308617,0.001652513,0.5245198,False
tile_2882.npy,0.26307717,0.0016376688,0.52451664,False
tile_2509.npy,0.263073,0.00093480863,0.5252112,False
tile_25032.npy,0.2630559,0.002193903,0.52391785,False
tile_21032.npy,0.2630505,0.0017912271,0.52430975,False
tile_12513.npy,0.26304305,0.0006491553,0.52543694,False
tile_16979.npy,0.26303804,0.0016691422,0.5244069,False
tile_5871.npy,0.26303667,0.001716143,0.5243572,False
tile_8726.npy,0.263031,0.0018160255,0.524246,False
tile_23045.npy,0.26298198,0.0015627733,0.5244012,False
tile_10572.npy,0.2629685,0.0014695548,0.52446747,False
tile_11810.npy,0.26296008,0.0017249326,0.5241952,False
tile_11212.npy,0.2629469,0.0018270507,0.52406675,False
tile_31074.npy,0.26294196,0.0023381473,0.52354574,False
tile_24128.npy,0.2629326,0.0017660997,0.5240991,False
tile_18643.npy,0.26289028,0.0020711382,0.5237094,False
tile_23005.npy,0.26287344,0.0017633835,0.5239835,False
tile_19684.npy,0.26285535,0.0015470074,0.5241637,False
tile_27215.npy,0.2628139,0.0016827991,0.523945,False
tile_11113.npy,0.2628038,0.0023829932,0.5232246,False
tile_18195.npy,0.26279375,0.0018550911,0.5237324,False
tile_10761.npy,0.26278466,0.0016298159,0.5239395,False
tile_13765.npy,0.26277563,0.0017684774,0.5237828,False
tile_21836.npy,0.26277414,0.0018310167,0.5237173,False
tile_4090.npy,0.2627738,0.002056581,0.523491,False
tile_10124.npy,0.26272646,0.0018133838,0.5236395,False
tile_28425.npy,0.26269978,0.0016663058,0.52373326,False
tile_7426.npy,0.26268804,0.0014009526,0.52397513,False
tile_14980.npy,0.26265654,0.0019143895,0.5233987,False
tile_29167.npy,0.26261187,0.0020721084,0.52315164,False
tile_19861.npy,0.26257882,0.0021638772,0.52299374,False
tile_11508.npy,0.2625543,0.0015335836,0.523575,False
tile_3552.npy,0.2625524,0.0019724676,0.5231323,False
tile_23713.npy,0.26255178,0.0017933781,0.5233102,False
tile_9951.npy,0.26254568,0.001579943,0.5235114,False
tile_13786.npy,0.26248795,0.0015452167,0.5234307,False
tile_27355.npy,0.26248732,0.0022111242,0.5227635,False
tile_26730.npy,0.26248497,0.0015350652,0.5234349,False
tile_27965.npy,0.2624519,0.0020596918,0.5228441,False
tile_26752.npy,0.26244962,0.0017396464,0.5231596,False
tile_18826.npy,0.2624485,0.001746065,0.5231509,False
tile_22604.npy,0.2624334,0.00050030625,0.5243665,False
tile_25111.npy,0.2624319,0.0016854213,0.52317834,False
tile_32117.npy,0.26239666,0.00056633336,0.524227,False
tile_18777.npy,0.2623742,0.0013542026,0.52339417,False
tile_4411.npy,0.26233807,0.0016786642,0.5229975,False
tile_5621.npy,0.2623344,0.0014688565,0.5232,False
tile_8385.npy,0.2623344,0.0018535759,0.5228152,False
tile_5962.npy,0.26233122,0.0013493403,0.5233131,False
tile_17259.npy,0.26231223,0.001722201,0.52290225,False
tile_23867.npy,0.26229915,0.0014856225,0.52311265,False
tile_28251.npy,0.26228595,0.0016060956,0.5229658,False
tile_24469.npy,0.26226634,0.001565428,0.5229672,False
tile_19875.npy,0.2622412,0.0016289225,0.5228535,False
tile_10056.npy,0.2622407,0.0019013863,0.52258,False
tile_22883.npy,0.26222748,0.0017411866,0.5227138,False
tile_14107.npy,0.26222354,0.00042559433,0.5240215,False
tile_8998.npy,0.2622101,0.0014913277,0.5229289,False
tile_31053.npy,0.26215243,0.00212863,0.52217627,False
tile_21843.npy,0.26215106,0.001651994,0.5226501,False
tile_6051.npy,0.26209366,0.0008677201,0.5233196,False
tile_27972.npy,0.26207024,0.0015496197,0.5225909,False
tile_25341.npy,0.2620546,0.0014440133,0.52266514,False
tile_29289.npy,0.2620515,0.0013311219,0.52277184,False
tile_27732.npy,0.26204583,0.0017341102,0.5223575,False
tile_28669.npy,0.2620453,0.0019956403,0.52209496,False
tile_6047.npy,0.2620446,0.0017937629,0.5222955,False
tile_9722.npy,0.26203254,0.00066973676,0.52339536,False
tile_13593.npy,0.26201472,0.0011059887,0.52292347,False
tile_9350.npy,0.261985,0.0013958337,0.5225742,False
tile_16453.npy,0.2619806,0.0013954213,0.5225658,False
tile_5622.npy,0.26196417,0.0015992696,0.5223291,False
tile_10219.npy,0.26193017,0.0015648599,0.5222955,False
tile_10051.npy,0.26190645,0.0018326805,0.5219802,False
tile_5087.npy,0.26188537,0.000661138,0.5231096,False
