Filename,Anomaly_Score,MSE,SSIM_Delta,KLD,Is_Anomaly
tile_7193.npy,0.5278041,0.05063902,0.9997253,2.6219616,False
tile_10826.npy,0.5278031,0.05035343,0.9997351,2.758865,False
tile_8919.npy,0.5277615,0.05053149,0.9997042,2.6437178,False
tile_21459.npy,0.52774006,0.050424494,0.99976534,2.645154,False
tile_10304.npy,0.52771354,0.05043837,0.99966156,2.663538,False
tile_7047.npy,0.52770746,0.050332934,0.99983597,2.6230223,False
tile_7221.npy,0.5276561,0.05027227,0.9997433,2.648293,False
tile_21293.npy,0.52762115,0.050357625,0.99967575,2.6044722,False
tile_5127.npy,0.52759117,0.05008338,0.99971604,2.6914682,False
tile_11026.npy,0.52751565,0.0500376,0.9997095,2.642121,False
tile_9484.npy,0.52750605,0.050099943,0.9997584,2.5768955,False
tile_19734.npy,0.52749217,0.049956266,0.99976504,2.6314662,False
tile_9470.npy,0.52748144,0.049815007,0.99973315,2.7073743,False
tile_18527.npy,0.5274733,0.049992234,0.9997472,2.603517,False
tile_20261.npy,0.5274616,0.049954947,0.999766,2.6011474,False
tile_12402.npy,0.5273696,0.04985132,0.9997755,2.5562246,False
tile_8069.npy,0.5273578,0.048490748,0.99965245,3.2862124,False
tile_8617.npy,0.5273575,0.0497877,0.99975264,2.587384,False
tile_5480.npy,0.5273444,0.04968507,0.9997472,2.6282818,False
tile_12283.npy,0.52732015,0.049819633,0.9996401,2.590269,False
tile_19198.npy,0.5272972,0.04967405,0.99971473,2.6028225,False
tile_19209.npy,0.52717954,0.049644746,0.99967825,2.518064,False
tile_14373.npy,0.52711296,0.048718087,0.9997171,2.8953648,False
tile_11253.npy,0.5270384,0.048626345,0.99973726,2.8566122,False
tile_18333.npy,0.5270055,0.049202215,0.9996785,2.5651422,False
tile_14684.npy,0.5270052,0.048791975,0.9997664,2.7260473,False
tile_19029.npy,0.5269726,0.048947502,0.9997823,2.6076884,False
tile_16431.npy,0.5269644,0.048986882,0.9996656,2.6381328,False
tile_12952.npy,0.5269552,0.04900537,0.999766,2.569525,False
tile_18222.npy,0.526953,0.048792258,0.9997369,2.6884124,False
tile_13288.npy,0.52694726,0.048940737,0.99972165,2.6160436,False
tile_11384.npy,0.5269279,0.04898356,0.9996902,2.5910234,False
tile_9987.npy,0.5269217,0.048997846,0.9997335,2.5560207,False
tile_19897.npy,0.52689624,0.04876621,0.9997374,2.6444168,False
tile_15717.npy,0.52688456,0.048788104,0.9997793,2.6008708,False
tile_11706.npy,0.52683127,0.048625354,0.99964523,2.6959476,False
tile_20952.npy,0.52681345,0.048473503,0.99974936,2.701981,False
tile_20758.npy,0.5267888,0.04856532,0.9998166,2.5978055,False
tile_21124.npy,0.526784,0.048538618,0.9997295,2.6499352,False
tile_15556.npy,0.5267709,0.048441645,0.99982363,2.6383028,False
tile_16090.npy,0.5267635,0.048533533,0.9997241,2.634732,False
tile_16578.npy,0.5267364,0.053006373,0.99966705,0.3996316,False
tile_16612.npy,0.52672136,0.048328303,0.9997547,2.6798048,False
tile_11237.npy,0.526693,0.047926176,0.99968976,2.8850214,False
tile_5472.npy,0.526675,0.048397176,0.999862,2.545419,False
tile_21302.npy,0.52664715,0.04819125,0.999801,2.651043,False
tile_14374.npy,0.5266377,0.047852524,0.99972826,2.8472269,False
tile_10131.npy,0.5266239,0.048303,0.999759,2.5929387,False
tile_11030.npy,0.5266054,0.048083663,0.9997693,2.678956,False
tile_19705.npy,0.52659583,0.048349533,0.9996622,2.5899494,False
tile_16966.npy,0.5265958,0.048130967,0.9997261,2.6672208,False
tile_7225.npy,0.5265866,0.04827286,0.9996562,2.6220956,False
tile_12926.npy,0.5265611,0.04817632,0.9997747,2.5856028,False
tile_21454.npy,0.5265401,0.047347434,0.99962217,3.0552845,False
tile_13016.npy,0.5264925,0.047870595,0.9997323,2.6910164,False
tile_5132.npy,0.5264613,0.04799693,0.99975824,2.5837164,False
tile_20245.npy,0.5264432,0.048016734,0.9997121,2.5787497,False
tile_21466.npy,0.5264298,0.047957543,0.9997831,2.5594027,False
tile_17523.npy,0.5264254,0.04734008,0.9997747,2.8680334,False
tile_13528.npy,0.52642477,0.04798723,0.999658,2.60214,False
tile_6854.npy,0.52638716,0.04772391,0.99981135,2.6195326,False
tile_13679.npy,0.5263852,0.047710776,0.99968415,2.6877198,False
tile_17487.npy,0.5263842,0.04771927,0.9997329,2.6580682,False
tile_18866.npy,0.526377,0.047995977,0.99957275,2.5926795,False
tile_18330.npy,0.5263257,0.04752659,0.99980354,2.6606421,False
tile_6873.npy,0.5263056,0.04751772,0.9997117,2.690933,False
tile_20411.npy,0.5262851,0.04782775,0.99970824,2.5171227,False
tile_13463.npy,0.5262803,0.047697775,0.9995992,2.6317534,False
tile_17477.npy,0.52626014,0.047501028,0.9996474,2.685903,False
tile_16954.npy,0.526259,0.047586605,0.9997535,2.5890093,False
tile_14154.npy,0.5262342,0.047508173,0.99969006,2.6351292,False
tile_9433.npy,0.5262317,0.04752478,0.9997292,2.6047385,False
tile_9096.npy,0.5262108,0.04724849,0.9997935,2.6898065,False
tile_20246.npy,0.5261857,0.047401916,0.99978536,2.5920398,False
tile_12778.npy,0.52616507,0.047612317,0.9996313,2.5432968,False
tile_13671.npy,0.5261625,0.04743868,0.9997093,2.5885053,False
tile_18576.npy,0.5261234,0.047390778,0.9997068,2.574635,False
tile_5124.npy,0.52611727,0.0470827,0.9998007,2.6756144,False
tile_10832.npy,0.52609855,0.047219407,0.9997315,2.6230595,False
tile_19894.npy,0.5260909,0.04713305,0.9996071,2.7208607,False
tile_4776.npy,0.52603453,0.047161594,0.99976087,2.573289,False
tile_11526.npy,0.52600354,0.04658912,0.99982464,2.7966409,False
tile_19191.npy,0.5259881,0.04691503,0.9997442,2.658492,False
tile_18036.npy,0.525973,0.047101166,0.9997012,2.5718408,False
tile_16437.npy,0.52595663,0.04693874,0.9997376,2.618404,False
tile_15023.npy,0.5259126,0.046665452,0.9997604,2.6996698,False
tile_18918.npy,0.5259072,0.046926916,0.99975044,2.5685513,False
tile_29645.npy,0.5258673,0.051282965,0.9996693,0.3911334,False
tile_12994.npy,0.52583086,0.04679722,0.99973416,2.5651212,False
tile_19265.npy,0.5257835,0.0465095,0.99970394,2.676809,False
tile_11725.npy,0.52576584,0.046785068,0.9997406,2.5030046,False
tile_18232.npy,0.52575964,0.04657629,0.99969965,2.6216352,False
tile_21452.npy,0.52569854,0.04630989,0.9996983,2.6944952,False
tile_20778.npy,0.5256729,0.04628568,0.9997417,2.659267,False
tile_19555.npy,0.52564585,0.04601068,0.9996636,2.8087177,False
tile_12399.npy,0.52563846,0.046378113,0.9997994,2.549687,False
tile_5131.npy,0.5256204,0.04626758,0.9997006,2.636319,False
tile_22158.npy,0.5256087,0.046421953,0.99967843,2.558549,False
tile_19365.npy,0.52558017,0.046105534,0.9997023,2.676249,False
tile_13535.npy,0.5255791,0.046291918,0.9997395,2.5633678,False
tile_15897.npy,0.52556574,0.046088953,0.99968874,2.6769025,False
tile_18504.npy,0.5255643,0.046142053,0.99971396,2.6363292,False
tile_20488.npy,0.52555174,0.04595085,0.99952114,2.8157475,False
tile_15287.npy,0.5255189,0.046050448,0.99974644,2.620479,False
tile_4952.npy,0.525506,0.045954555,0.99978954,2.6339762,False
tile_21274.npy,0.525504,0.04614049,0.99966365,2.6019247,False
tile_15578.npy,0.52548426,0.04600618,0.9997328,2.6148186,False
tile_15050.npy,0.5254753,0.045827754,0.9996671,2.7278395,False
tile_12660.npy,0.5254443,0.04584855,0.9996817,2.679178,False
tile_8766.npy,0.52543694,0.046025403,0.99969935,2.574561,False
tile_20478.npy,0.52541405,0.045986533,0.9996724,2.5845873,False
tile_8587.npy,0.525395,0.045955762,0.99976504,2.5345888,False
tile_8595.npy,0.5253728,0.045748822,0.9996307,2.6830335,False
tile_11238.npy,0.52535605,0.045893967,0.9996932,2.5624802,False
tile_12680.npy,0.5253499,0.04539548,0.999636,2.8342285,False
tile_15444.npy,0.5253339,0.045649923,0.9997099,2.653941,False
